"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 01:05:05 MSK 2025","Sun Aug 17 01:05:05 MSK 2025","385","tests","test_login_courier","TestCourierLogin","","","test_login_nonexistent_user",""
"passed","Sun Aug 17 01:04:33 MSK 2025","Sun Aug 17 01:04:34 MSK 2025","336","tests","test_create_order","","","","test_create_order_with_different_colors[None]",""
"passed","Sun Aug 17 01:04:34 MSK 2025","Sun Aug 17 01:04:39 MSK 2025","4821","tests","test_get_orders","","","","test_get_orders_list[None]",""
"passed","Sun Aug 17 01:04:54 MSK 2025","Sun Aug 17 01:04:54 MSK 2025","422","tests","test_login_courier","TestCourierLogin","","","test_login_missing_required_field[login]",""
"passed","Sun Aug 17 01:04:53 MSK 2025","Sun Aug 17 01:04:54 MSK 2025","520","tests","test_login_courier","TestCourierLogin","","","test_login_success",""
"skipped","Sun Aug 17 01:04:52 MSK 2025","Sun Aug 17 01:04:52 MSK 2025","497","tests","test_get_orders","","","","test_get_orders_list[params5]",""
"broken","Sun Aug 17 01:04:55 MSK 2025","Sun Aug 17 01:05:00 MSK 2025","5481","tests","test_login_courier","TestCourierLogin","","","test_login_missing_required_field[password]",""
"passed","Sun Aug 17 01:04:32 MSK 2025","Sun Aug 17 01:04:32 MSK 2025","343","tests","test_create_order","","","","test_create_order_with_different_colors[colors0]",""
"passed","Sun Aug 17 01:04:28 MSK 2025","Sun Aug 17 01:04:29 MSK 2025","883","tests","test_create_courier","TestCourierCreate","","","test_create_duplicate_courier_should_fail",""
"skipped","Sun Aug 17 01:05:02 MSK 2025","Sun Aug 17 01:05:02 MSK 2025","553","tests","test_login_courier","TestCourierLogin","","","test_login_with_wrong_credentials[wronglogin-wrongpassword]",""
"passed","Sun Aug 17 01:04:47 MSK 2025","Sun Aug 17 01:04:51 MSK 2025","4688","tests","test_get_orders","","","","test_get_orders_list[params3]",""
"passed","Sun Aug 17 01:05:04 MSK 2025","Sun Aug 17 01:05:04 MSK 2025","527","tests","test_login_courier","TestCourierLogin","","","test_login_with_wrong_credentials[<lambda>-wrongpassword]",""
"passed","Sun Aug 17 01:04:39 MSK 2025","Sun Aug 17 01:04:43 MSK 2025","3968","tests","test_get_orders","","","","test_get_orders_list[params1]",""
"passed","Sun Aug 17 01:04:33 MSK 2025","Sun Aug 17 01:04:33 MSK 2025","395","tests","test_create_order","","","","test_create_order_with_different_colors[colors2]",""
"passed","Sun Aug 17 01:05:03 MSK 2025","Sun Aug 17 01:05:03 MSK 2025","535","tests","test_login_courier","TestCourierLogin","","","test_login_with_wrong_credentials[wronglogin-<lambda>]",""
"passed","Sun Aug 17 01:04:51 MSK 2025","Sun Aug 17 01:04:52 MSK 2025","788","tests","test_get_orders","","","","test_get_orders_list[params4]",""
"passed","Sun Aug 17 01:04:32 MSK 2025","Sun Aug 17 01:04:33 MSK 2025","368","tests","test_create_order","","","","test_create_order_with_different_colors[colors1]",""
"passed","Sun Aug 17 01:04:31 MSK 2025","Sun Aug 17 01:04:31 MSK 2025","409","tests","test_create_courier","TestCourierCreate","","","test_create_courier_missing_required_field[password]",""
"passed","Sun Aug 17 01:04:25 MSK 2025","Sun Aug 17 01:04:27 MSK 2025","1824","tests","test_create_courier","TestCourierCreate","","","test_create_courier_success",""
"passed","Sun Aug 17 01:04:30 MSK 2025","Sun Aug 17 01:04:31 MSK 2025","413","tests","test_create_courier","TestCourierCreate","","","test_create_courier_missing_required_field[login]",""
"passed","Sun Aug 17 01:04:33 MSK 2025","Sun Aug 17 01:04:33 MSK 2025","428","tests","test_create_order","","","","test_create_order_with_different_colors[colors3]",""
"passed","Sun Aug 17 01:04:43 MSK 2025","Sun Aug 17 01:04:46 MSK 2025","3977","tests","test_get_orders","","","","test_get_orders_list[params2]",""
