"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 19:52:06 MSK 2025","Sun Aug 17 19:52:07 MSK 2025","290","tests","test_login_courier","TestCourierLogin","","","Вход несуществующего пользователя","Проверяется обработка попытки входа несуществующего пользователя"
"passed","Sun Aug 17 19:51:44 MSK 2025","Sun Aug 17 19:51:45 MSK 2025","289","tests","test_login_courier","TestCourierLogin","","","Вход с отсутствующим обязательным полем","Проверяется ошибка 400 при отсутствии обязательного поля"
"passed","Sun Aug 17 19:51:24 MSK 2025","Sun Aug 17 19:51:24 MSK 2025","312","tests","test_create_courier","TestCourierCreate","","","Создание дубликатного курьера возвращает ошибку","Попытка создать курьера с уже существующим логином даёт 409 Conflict и сообщение"
"passed","Sun Aug 17 19:51:43 MSK 2025","Sun Aug 17 19:51:43 MSK 2025","314","tests","test_login_courier","TestCourierLogin","","","Успешный вход курьера","Проверяется, что курьер может войти с правильными данными"
"passed","Sun Aug 17 19:51:26 MSK 2025","Sun Aug 17 19:51:27 MSK 2025","319","tests","test_create_order","","","","Создание заказа с разными цветами","Проверяется успешное создание заказа с разными вариантами цвета"
"passed","Sun Aug 17 19:51:42 MSK 2025","Sun Aug 17 19:51:42 MSK 2025","435","tests","test_get_orders","","","","Получение списка заказов с разными параметрами","Проверяется успешное получение списка заказов или корректная обработка ошибок"
"passed","Sun Aug 17 19:51:26 MSK 2025","Sun Aug 17 19:51:26 MSK 2025","326","tests","test_create_order","","","","Создание заказа с разными цветами","Проверяется успешное создание заказа с разными вариантами цвета"
"passed","Sun Aug 17 19:51:25 MSK 2025","Sun Aug 17 19:51:25 MSK 2025","336","tests","test_create_courier","TestCourierCreate","","","Создание курьера с отсутствующим обязательным полем","Проверка ошибки 400 при отсутствии обязательного поля"
"passed","Sun Aug 17 19:51:27 MSK 2025","Sun Aug 17 19:51:27 MSK 2025","347","tests","test_create_order","","","","Создание заказа с разными цветами","Проверяется успешное создание заказа с разными вариантами цвета"
"passed","Sun Aug 17 19:51:38 MSK 2025","Sun Aug 17 19:51:42 MSK 2025","3593","tests","test_get_orders","","","","Получение списка заказов с разными параметрами","Проверяется успешное получение списка заказов или корректная обработка ошибок"
"skipped","Sun Aug 17 19:51:42 MSK 2025","Sun Aug 17 19:51:43 MSK 2025","326","tests","test_get_orders","","","","Получение списка заказов с разными параметрами","Проверяется успешное получение списка заказов или корректная обработка ошибок"
"passed","Sun Aug 17 19:51:25 MSK 2025","Sun Aug 17 19:51:26 MSK 2025","317","tests","test_create_order","","","","Создание заказа с разными цветами","Проверяется успешное создание заказа с разными вариантами цвета"
"skipped","Sun Aug 17 19:52:03 MSK 2025","Sun Aug 17 19:52:03 MSK 2025","277","tests","test_login_courier","TestCourierLogin","","","Вход с неверными учетными данными","Проверяется корректное поведение API при неверном логине/пароле"
"passed","Sun Aug 17 19:51:31 MSK 2025","Sun Aug 17 19:51:35 MSK 2025","4148","tests","test_get_orders","","","","Получение списка заказов с разными параметрами","Проверяется успешное получение списка заказов или корректная обработка ошибок"
"passed","Sun Aug 17 19:51:27 MSK 2025","Sun Aug 17 19:51:31 MSK 2025","4000","tests","test_get_orders","","","","Получение списка заказов с разными параметрами","Проверяется успешное получение списка заказов или корректная обработка ошибок"
"skipped","Sun Aug 17 19:51:46 MSK 2025","Sun Aug 17 19:52:02 MSK 2025","15801","tests","test_login_courier","TestCourierLogin","","","Вход с отсутствующим обязательным полем","Проверяется ошибка 400 при отсутствии обязательного поля"
"passed","Sun Aug 17 19:51:26 MSK 2025","Sun Aug 17 19:51:26 MSK 2025","330","tests","test_create_order","","","","Создание заказа с разными цветами","Проверяется успешное создание заказа с разными вариантами цвета"
"passed","Sun Aug 17 19:52:04 MSK 2025","Sun Aug 17 19:52:05 MSK 2025","447","tests","test_login_courier","TestCourierLogin","","","Вход с неверными учетными данными","Проверяется корректное поведение API при неверном логине/пароле"
"passed","Sun Aug 17 19:52:06 MSK 2025","Sun Aug 17 19:52:06 MSK 2025","289","tests","test_login_courier","TestCourierLogin","","","Вход с неверными учетными данными","Проверяется корректное поведение API при неверном логине/пароле"
"passed","Sun Aug 17 19:51:35 MSK 2025","Sun Aug 17 19:51:38 MSK 2025","3297","tests","test_get_orders","","","","Получение списка заказов с разными параметрами","Проверяется успешное получение списка заказов или корректная обработка ошибок"
"passed","Sun Aug 17 19:51:25 MSK 2025","Sun Aug 17 19:51:25 MSK 2025","296","tests","test_create_courier","TestCourierCreate","","","Создание курьера с отсутствующим обязательным полем","Проверка ошибки 400 при отсутствии обязательного поля"
"passed","Sun Aug 17 19:51:23 MSK 2025","Sun Aug 17 19:51:23 MSK 2025","601","tests","test_create_courier","TestCourierCreate","","","Успешное создание курьера","Проверяет, что курьер успешно создаётся (201) и возвращается {'ok': True}"
